service,name,navigateFrom,navigateTo,multiplicity
API_WORK_CENTER,_PooledCap,WORKCENTERHEADERTYPE,WORKCENTERPOOLEDCAPACITYTYPE,*
API_FREIGHTORDER,_FreightOrder,FREIGHTORDEREVENT_TYPE,FREIGHTORDER_TYPE,1
API_PLANNEDORDER,_PlannedOrderComponent,PLANNEDORDERHEADERTYPE,PLANNEDORDERCOMPONENTTYPE,*
API_SALESORDER,_SalesOrder,SALESORDERITEMPRICINGELMNT_TYPE,SALESORDER_TYPE,1
API_BILLINGDOCUMENTREQUEST,_Partner,BILLINGDOCUMENTREQUEST_TYPE,BILLINGDOCUMENTREQUESTPARTNER_TYPE,*
API_SALESORDER,_SalesOrder,SALESORDERITEM_TYPE,SALESORDER_TYPE,1
API_PLANNEDORDER,_PlannedOrder,PLANNEDORDERCOMPONENTTYPE,PLANNEDORDERHEADERTYPE,1
API_SERVICECONTRACT,_Item,SERVICECONTRACT_TYPE,SERVICECONTRACTITEM_TYPE,*
API_RFM_ASSORTMENT_MODULE,_Version,EXPLICITASSORTMENTMODULETYPE,EXPLICITASSORTMENTMODULEVERSTYPE,*
API_RFM_ASSORTMENT_MODULE,_Product,EXPLICITASSORTMENTMODULEVERSTYPE,PRODUCTTOEXPLICITASSTMTMDLVERSTYPE,*
API_CNSLDTNCUSTOMER,_Customer,CNSLDTNCUSTOMERTEXT_TYPE,CNSLDTNCUSTOMER_TYPE,1
API_MEASURINGPOINT,_MsrgPointConditionLongText,MSRGPOINTCONDITION_TYPE,MSRGPOINTCONDITIONLONGTEXT_TYPE,1
API_SRVCCANCELLATIONREASON,_SrvcCancellationReasonText,SERVICECANCELLATIONREASON_TYPE,SRVCCANCELLATIONREASONTEXT_TYPE,*
API_PROJECTBILLINGREQUEST,_ProjectBillingRequestTP,PROJECTBILLINGREQUESTITEM_TYPE,PROJECTBILLINGREQUEST_TYPE,1
API_WORK_CENTER,_Header,WORKCENTERCAPACITYINTERVALTYPE,WORKCENTERHEADERTYPE,1
API_RFM_ASSORTMENT_MODULE,_ExplicitAssortmentModule,EXPLICITASSORTMENTMODULEUSERTYPE,EXPLICITASSORTMENTMODULETYPE,1
API_WORK_CENTER,_Description,WORKCENTERHEADERTYPE,WORKCENTERDESCRIPTIONTYPE,*
API_FREIGHTORDER,_FreightOrder,FREIGHTORDERITEM_TYPE,FREIGHTORDER_TYPE,1
API_CNSLDTNPLANT,_Plant,CNSLDTNPLANTTEXT_TYPE,CNSLDTNPLANT_TYPE,1
API_WRKCTRPOOLEDCAPACITY,_Interval,WORKCENTERCAPACITYTYPE,WORKCENTERCAPACITYINTERVALTYPE,*
API_MEASURINGPOINT,_MeasuringPoint,MSRGPOINTCONDITIONLONGTEXT_TYPE,MEASURINGPOINTTYPE,1
API_RETAILPROMOTION,_RtlPromnLoclStoreGroupText,A_RTLPROMNLOCALSTOREGROUP_TYPE,A_RETAILPROMOTIONLOCALSTOREGROUPT_TYPE,*
API_PAYROLLEARMARKEDFUNDSDOC,_EarmarkedFundsDocument,PAYROLLEARMARKEDFUNDSDOCITEM_TYPE,PAYROLLEARMARKEDFUNDSDOC_TYPE,1
API_RETAILPROMOTION,_RetailPromotion,A_RETAILPROMOTIONITEM_TYPE,A_RETAILPROMOTION_TYPE,1
API_BILLINGDOCUMENTREQUEST,_BillingDocumentRequest,BILLINGDOCUMENTREQUESTITEMTEXT_TYPE,BILLINGDOCUMENTREQUEST_TYPE,1
